Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,218.125,-112.9,180,bottom
C1,100n,C_0402_1005Metric,229.175,-121.4,90,bottom
C2,100n,C_0402_1005Metric,236.45,-121.525,90,bottom
C3,100n,C_0402_1005Metric,235.425,-121.525,90,bottom
C4,100n,C_0402_1005Metric,231.475,-109.8,-90,bottom
C5,100n,C_0402_1005Metric,239.85,-117.875,180,bottom
C6,100n,C_0402_1005Metric,239.02168,-111.003751,-45,bottom
C7,100n,C_0402_1005Metric,227.675,-114.225,0,bottom
C8,100n,C_0402_1005Metric,216.35,-117.125,180,bottom
C9,1u,C_0402_1005Metric,233.375,-121.525,-90,bottom
C10,100n,C_0402_1005Metric,228.05,-121.4,-90,bottom
C11,100n,C_0402_1005Metric,239.75,-111.725,135,bottom
C14,1u,C_0402_1005Metric,232.35,-121.525,-90,bottom
C15,15p,C_0402_1005Metric,247.772139,-109.425,-90,bottom
C16,15p,C_0402_1005Metric,242.44714,-109.425,90,bottom
C17,1uF,C_0402_1005Metric,212.425,-78.825,0,bottom
C18,1uF,C_0402_1005Metric,212.4175,-77.7875,0,bottom
D1,D_Small,Diode_SOD-123_noref,36.75,-34.15,90,bottom
D2,D_Small,Diode_SOD-123_noref,55.8,-34.15,90,bottom
D3,D_Small,Diode_SOD-123_noref,79.6125,-34.15,90,bottom
D4,D_Small,Diode_SOD-123_noref,98.6625,-34.15,90,bottom
D5,D_Small,Diode_SOD-123_noref,117.7125,-34.15,90,bottom
D6,D_Small,Diode_SOD-123_noref,136.7625,-34.15,90,bottom
D7,D_Small,Diode_SOD-123_noref,155.8125,-34.15,90,bottom
D8,D_Small,Diode_SOD-123_noref,174.8625,-34.15,90,bottom
D9,D_Small,Diode_SOD-123_noref,193.9125,-34.15,90,bottom
D10,D_Small,Diode_SOD-123_noref,212.9625,-34.15,90,bottom
D11,D_Small,Diode_SOD-123_noref,232.0125,-34.15,90,bottom
D12,D_Small,Diode_SOD-123_noref,251.0625,-34.15,90,bottom
D13,D_Small,Diode_SOD-123_noref,270.1125,-34.15,90,bottom
D14,D_Small,Diode_SOD-123_noref,289.1625,-34.15,90,bottom
D15,D_Small,Diode_SOD-123_noref,308.2125,-34.15,90,bottom
D16,D_Small,Diode_SOD-123_noref,313.075,-34.15,90,bottom
D17,D_Small,Diode_SOD-123_noref,370.125,-34.15,90,bottom
D18,D_Small,Diode_SOD-123_noref,389.175,-34.15,90,bottom
D19,D_Small,Diode_SOD-123_noref,408.225,-34.15,90,bottom
D20,D_Small,Diode_SOD-123_noref,413.275,-34.15,90,bottom
D22,D_Small,Diode_SOD-123_noref,346.3125,-34.15,90,bottom
D23,D_Small,Diode_SOD-123_noref,36.75,-51.6,-90,bottom
D24,D_Small,Diode_SOD-123_noref,55.8,-51.6,-90,bottom
D25,D_Small,Diode_SOD-123_noref,84.375,-51.6,-90,bottom
D26,D_Small,Diode_SOD-123_noref,108.1875,-51.6,-90,bottom
D27,D_Small,Diode_SOD-123_noref,127.2375,-51.6,-90,bottom
D28,D_Small,Diode_SOD-123_noref,146.2875,-51.6,-90,bottom
